id,name,tel,mobile,email,type,is_own_reg,reg_dt,reg_channel_id,state,cdt,udt,last_login_dt,remark
111, 林凯成,, 13*******86,,1,,2019/3/14 18:37,,1,2019/3/14 18:37,2019/3/14 18:37,2019/3/14 18:37,
112, 刘柏妍,, 17*******28,,1,,2017/6/27 0:21,,1,2017/6/27 0:21,2017/6/27 0:21,2017/6/27 0:21,
113, 超人,, 13*******18,,1,,2017/5/18 15:15,,1,2017/5/18 15:15,2017/5/18 15:15,2017/5/18 15:15,
114, 戴珍珍,, 15*******99,,1,,2013/11/4 20:26,,1,2013/11/4 20:26,2013/11/4 20:26,2013/11/4 20:26,
115, 张世娟,, 18*******02,,1,,2013/11/18 0:25,,1,2013/11/18 0:25,2013/11/18 0:25,2013/11/18 0:25,
116, 黄文丽,, 18*******78,,1,,2015/12/4 14:19,,1,2015/12/4 14:19,2015/12/4 14:19,2015/12/4 14:19,
117, 王叶,, 18*******00,,1,,2013/8/13 18:20,,1,2013/8/13 18:20,2013/8/13 18:20,2013/8/13 18:20,
118, 魏群辉,, 15*******10,,1,,2013/12/10 13:33,,1,2013/12/10 13:33,2013/12/10 13:33,2013/12/10 13:33,
119, 张洁,, 13*******67,,1,,2010/5/13 11:41,,1,2010/5/13 11:41,2010/5/13 11:41,2010/5/13 11:41,
120, 高改改,, 15*******72,,1,,2019/7/8 13:45,,1,2019/7/8 13:45,2019/7/8 13:45,2019/7/8 13:45,
121, 蒲海涛,, 13*******10,,1,,2012/2/2 10:39,,1,2012/2/2 10:39,2012/2/2 10:39,2012/2/2 10:39,
122, 高改改,, 15*******72,,1,,2011/11/6 0:39,,1,2011/11/6 0:39,2011/11/6 0:39,2011/11/6 0:39,
123, 肖潇,, 13*******89,,1,,2019/4/1 17:45,,1,2019/4/1 17:45,2019/4/1 17:45,2019/4/1 17:45,
124, 董雪梅,, 13*******82,,1,,2014/11/25 12:32,,1,2014/11/25 12:32,2014/11/25 12:32,2014/11/25 12:32,
125, 吴计芹,, 18*******19,,1,,2015/9/14 23:56,,1,2015/9/14 23:56,2015/9/14 23:56,2015/9/14 23:56,
126, 关云和,, 15*******04,,1,,2012/8/11 20:00,,1,2012/8/11 20:00,2012/8/11 20:00,2012/8/11 20:00,
127, 村通代收,, 18*******78,,1,,2014/4/18 14:18,,1,2014/4/18 14:18,2014/4/18 14:18,2014/4/18 14:18,
128, 赵会英,, 17*******90,,1,,2012/8/26 21:38,,1,2012/8/26 21:38,2012/8/26 21:38,2012/8/26 21:38,
129, 杨林钢,, 15*******95,,1,,2015/8/4 2:15,,1,2015/8/4 2:15,2015/8/4 2:15,2015/8/4 2:15,
130, 魏诗彤,, 13*******31,,1,,2012/10/23 18:34,,1,2012/10/23 18:34,2012/10/23 18:34,2012/10/23 18:34,
131, 王艳平,, 15*******94,,1,,2013/7/5 11:23,,1,2013/7/5 11:23,2013/7/5 11:23,2013/7/5 11:23,
132, 王艳平,, 15*******94,,1,,2010/9/19 21:27,,1,2010/9/19 21:27,2010/9/19 21:27,2010/9/19 21:27,
133, 王乾坤,, 13*******88,,1,,2012/6/1 18:49,,1,2012/6/1 18:49,2012/6/1 18:49,2012/6/1 18:49,
134, 王乾坤,, 13*******88,,1,,2017/3/28 0:14,,1,2017/3/28 0:14,2017/3/28 0:14,2017/3/28 0:14,
135, 沈艳洪,, 13*******86,,1,,2014/8/15 4:27,,1,2014/8/15 4:27,2014/8/15 4:27,2014/8/15 4:27,
136, 王乾坤,, 13*******88,,1,,2013/10/11 0:45,,1,2013/10/11 0:45,2013/10/11 0:45,2013/10/11 0:45,
137, 赵会英,, 17*******90,,1,,2012/1/25 17:56,,1,2012/1/25 17:56,2012/1/25 17:56,2012/1/25 17:56,
138, 王乾坤,, 13*******88,,1,,2016/5/20 19:32,,1,2016/5/20 19:32,2016/5/20 19:32,2016/5/20 19:32,
139, 梦湘,, 18*******81,,1,,2015/3/31 5:14,,1,2015/3/31 5:14,2015/3/31 5:14,2015/3/31 5:14,
140, 韩爱华,, 18*******70,,1,,2015/6/17 6:52,,1,2015/6/17 6:52,2015/6/17 6:52,2015/6/17 6:52,
141, 陈淑芳,, 15*******50,,1,,2016/6/9 15:14,,1,2016/6/9 15:14,2016/6/9 15:14,2016/6/9 15:14,
142, 徐明香,, 18*******29,,1,,2016/12/19 19:17,,1,2016/12/19 19:17,2016/12/19 19:17,2016/12/19 19:17,
143, 任立珍,, 15*******78,,1,,2016/3/26 20:14,,1,2016/3/26 20:14,2016/3/26 20:14,2016/3/26 20:14,
144, 徐霞,, 13*******17,,1,,2015/1/25 21:43,,1,2015/1/25 21:43,2015/1/25 21:43,2015/1/25 21:43,
145, 王建玲,, 13*******59,,1,,2018/9/22 15:56,,1,2018/9/22 15:56,2018/9/22 15:56,2018/9/22 15:56,
146, 孙高伟,, 17*******83,,1,,2013/6/12 9:08,,1,2013/6/12 9:08,2013/6/12 9:08,2013/6/12 9:08,
147, 李菊,, 18*******38,,1,,2019/10/9 0:09,,1,2019/10/9 0:09,2019/10/9 0:09,2019/10/9 0:09,
148, 李丽娜,, 13*******52,,1,,2014/9/29 10:38,,1,2014/9/29 10:38,2014/9/29 10:38,2014/9/29 10:38,
149, 王正乐,, 18*******86,,1,,2012/4/26 21:26,,1,2012/4/26 21:26,2012/4/26 21:26,2012/4/26 21:26,
150, 肖小华,, 15*******51,,1,,2010/5/17 8:44,,1,2010/5/17 8:44,2010/5/17 8:44,2010/5/17 8:44,
151, 蒲海涛,, 13*******10,,1,,2019/5/29 20:29,,1,2019/5/29 20:29,2019/5/29 20:29,2019/5/29 20:29,
152, 吴新生,, 15*******18,,1,,2015/8/18 18:20,,1,2015/8/18 18:20,2015/8/18 18:20,2015/8/18 18:20,
153, 王岁熙,, 18*******18,,1,,2017/7/30 21:13,,1,2017/7/30 21:13,2017/7/30 21:13,2017/7/30 21:13,
154, 彭涛,, 13*******50,,1,,2016/8/4 22:31,,1,2016/8/4 22:31,2016/8/4 22:31,2016/8/4 22:31,
155, 吴丽莉,, 15*******11,,1,,2018/4/12 19:08,,1,2018/4/12 19:08,2018/4/12 19:08,2018/4/12 19:08,
156, 吴芝华,, 18*******82,,1,,2011/12/1 4:24,,1,2011/12/1 4:24,2011/12/1 4:24,2011/12/1 4:24,
157, 朱粉玲:,, 15*******25,,1,,2017/5/29 23:04,,1,2017/5/29 23:04,2017/5/29 23:04,2017/5/29 23:04,
158, 张宁宁,, 15*******23,,1,,2015/11/16 22:59,,1,2015/11/16 22:59,2015/11/16 22:59,2015/11/16 22:59,
159, 姜艳,, 13*******83,,1,,2013/3/26 13:39,,1,2013/3/26 13:39,2013/3/26 13:39,2013/3/26 13:39,
160, 俺是农村的！,, 18*******50,,1,,2018/2/15 2:18,,1,2018/2/15 2:18,2018/2/15 2:18,2018/2/15 2:18,
161, 潘明秀,, 17*******37,,1,,2014/7/23 1:13,,1,2014/7/23 1:13,2014/7/23 1:13,2014/7/23 1:13,
162, 巴彩霞,, 13*******28,,1,,2013/12/20 9:58,,1,2013/12/20 9:58,2013/12/20 9:58,2013/12/20 9:58,
163, 常彭,, 18*******62,,1,,2011/12/14 20:07,,1,2011/12/14 20:07,2011/12/14 20:07,2011/12/14 20:07,
164, 张爱娥,, 15*******22,,1,,2014/10/28 10:21,,1,2014/10/28 10:21,2014/10/28 10:21,2014/10/28 10:21,
165, 刘雪飞,, 13*******00,,1,,2016/7/9 15:57,,1,2016/7/9 15:57,2016/7/9 15:57,2016/7/9 15:57,
166, 李秀文,, 13*******28,,1,,2011/10/26 10:35,,1,2011/10/26 10:35,2011/10/26 10:35,2011/10/26 10:35,
167, 李英,, 15*******53,,1,,2010/9/25 2:10,,1,2010/9/25 2:10,2010/9/25 2:10,2010/9/25 2:10,
168, 平的心,, 13*******39,,1,,2010/7/7 9:05,,1,2010/7/7 9:05,2010/7/7 9:05,2010/7/7 9:05,
169, 周云霞,, 18*******69,,1,,2015/4/13 8:00,,1,2015/4/13 8:00,2015/4/13 8:00,2015/4/13 8:00,
170, 王小霞,, 13*******66,,1,,2017/7/19 10:15,,1,2017/7/19 10:15,2017/7/19 10:15,2017/7/19 10:15,
171, 刘国松,, 15*******53,,1,,2016/7/9 16:28,,1,2016/7/9 16:28,2016/7/9 16:28,2016/7/9 16:28,
172, 汤伟,, 15*******24,,1,,2010/11/25 14:05,,1,2010/11/25 14:05,2010/11/25 14:05,2010/11/25 14:05,
173, 李瑞连,, 13*******27,,1,,2016/5/12 22:00,,1,2016/5/12 22:00,2016/5/12 22:00,2016/5/12 22:00,
174, 张娟,, 18*******92,,1,,2013/6/11 6:42,,1,2013/6/11 6:42,2013/6/11 6:42,2013/6/11 6:42,
175, 吕海秀,, 15*******59,,1,,2015/11/6 6:22,,1,2015/11/6 6:22,2015/11/6 6:22,2015/11/6 6:22,
176, 颜华玲,, 13*******35,,1,,2015/6/25 16:13,,1,2015/6/25 16:13,2015/6/25 16:13,2015/6/25 16:13,
177, 李名财,, 15*******80,,1,,2019/8/8 10:15,,1,2019/8/8 10:15,2019/8/8 10:15,2019/8/8 10:15,
178, 殷欣欣,, 15*******86,,1,,2017/12/5 2:49,,1,2017/12/5 2:49,2017/12/5 2:49,2017/12/5 2:49,
179, 殷欣欣,, 15*******86,,1,,2017/1/12 0:40,,1,2017/1/12 0:40,2017/1/12 0:40,2017/1/12 0:40,
180, 武秀华,, 15*******65,,1,,2011/12/27 9:17,,1,2011/12/27 9:17,2011/12/27 9:17,2011/12/27 9:17,
181, 黄艳,, 15*******57,,1,,2015/8/2 19:50,,1,2015/8/2 19:50,2015/8/2 19:50,2015/8/2 19:50,
182, 黄艳,, 15*******56,,1,,2013/11/10 21:16,,1,2013/11/10 21:16,2013/11/10 21:16,2013/11/10 21:16,
183, 陈波,, 15*******88,,1,,2019/1/13 5:44,,1,2019/1/13 5:44,2019/1/13 5:44,2019/1/13 5:44,
184, 潘小姐,, 13*******63,,1,,2015/9/18 5:57,,1,2015/9/18 5:57,2015/9/18 5:57,2015/9/18 5:57,
185, 戴红霞,, 15*******07,,1,,2012/12/31 7:41,,1,2012/12/31 7:41,2012/12/31 7:41,2012/12/31 7:41,
186, 王月晴,, 18*******19,,1,,2013/12/2 23:01,,1,2013/12/2 23:01,2013/12/2 23:01,2013/12/2 23:01,
187, 乔占夺,, 18*******38,,1,,2012/8/6 21:18,,1,2012/8/6 21:18,2012/8/6 21:18,2012/8/6 21:18,
188, 黄雅琴,, 13*******38,,1,,2016/12/10 1:46,,1,2016/12/10 1:46,2016/12/10 1:46,2016/12/10 1:46,
189, 侯海丽,, 18*******06,,1,,2019/11/2 17:29,,1,2019/11/2 17:29,2019/11/2 17:29,2019/11/2 17:29,
190, 罗太翠,, 18*******99,,1,,2017/1/23 18:24,,1,2017/1/23 18:24,2017/1/23 18:24,2017/1/23 18:24,
191, 潘志鹏,, 18*******69,,1,,2011/1/21 0:19,,1,2011/1/21 0:19,2011/1/21 0:19,2011/1/21 0:19,
192, 许文珍,, 13*******37,,1,,2011/2/3 14:03,,1,2011/2/3 14:03,2011/2/3 14:03,2011/2/3 14:03,
193, 徐燕燕,, 18*******61,,1,,2010/12/7 23:00,,1,2010/12/7 23:00,2010/12/7 23:00,2010/12/7 23:00,
194, 罗学丽,, 13*******21,,1,,2015/9/6 18:20,,1,2015/9/6 18:20,2015/9/6 18:20,2015/9/6 18:20,
195, 周先生,, 18*******63,,1,,2011/3/18 5:54,,1,2011/3/18 5:54,2011/3/18 5:54,2011/3/18 5:54,
196, 刘文桃,, 15*******42,,1,,2017/10/14 1:39,,1,2017/10/14 1:39,2017/10/14 1:39,2017/10/14 1:39,
197, 李桂玲,, 18*******88,,1,,2011/8/19 2:55,,1,2011/8/19 2:55,2011/8/19 2:55,2011/8/19 2:55,
198, 颜颜,, 13*******21,,1,,2013/3/10 12:43,,1,2013/3/10 12:43,2013/3/10 12:43,2013/3/10 12:43,
199, 戴健,, 15*******41,,1,,2019/5/30 15:36,,1,2019/5/30 15:36,2019/5/30 15:36,2019/5/30 15:36,
200, 王福清,, 13*******15,,1,,2018/6/27 22:06,,1,2018/6/27 22:06,2018/6/27 22:06,2018/6/27 22:06,
201, 吴丫丫,, 13*******86,,1,,2012/5/29 17:22,,1,2012/5/29 17:22,2012/5/29 17:22,2012/5/29 17:22,
202, 杨洋,, 13*******83,,1,,2012/6/2 19:56,,1,2012/6/2 19:56,2012/6/2 19:56,2012/6/2 19:56,
203, 王晓菲,, 18*******70,,1,,2011/7/23 5:19,,1,2011/7/23 5:19,2011/7/23 5:19,2011/7/23 5:19,
204, 贾金霞,, 13*******28,,1,,2017/8/16 21:53,,1,2017/8/16 21:53,2017/8/16 21:53,2017/8/16 21:53,
205, 张雪,, 15*******97,,1,,2011/8/3 11:23,,1,2011/8/3 11:23,2011/8/3 11:23,2011/8/3 11:23,
206, 张梦琪,, 18*******01,,1,,2018/12/29 19:05,,1,2018/12/29 19:05,2018/12/29 19:05,2018/12/29 19:05,
